2995 31367
1380 dropping 1
1381 dip- 1
1382 ping 3
1383 forced 2
1384 panic 2
1385 ^ 3
1386 taut 4
1387 loop 2
1388 felt 40
1389 firm 2
1390 commenced 4
1391 haul 1
1392 increased 2
1393 gold 3
1394 compact 1
1395 bullet 1
1396 shaped 3
1397 unintelligent 1
1398 staring 1
1399 thumped 1
1400 planking 4
1401 strokes 1
1402 neat 1
1403 fast-moving 2
1404 38 1
1405 hit 26
1406 kindness 1
1407 kicked 2
1408 body 9
1409 shuddering 1
1410 weigh 1
1411 ten 5
1412 pounds. 2
1413 sung 2
1414 steering 2
1415 watch 3
1416 smacks 1
1417 prob- 1
1418 ably 1
1419 talked 1
1420 storm-bound 1
1421 considered 2
1422 virtue 1
1423 unnecessarily 1
1424 respected 1
1425 thoughts 2
1426 annoy 1
1427 talking 1
1428 loud 1
1429 crazy 2
1430 rich 1
1431 radios 1
1432 base- 1
1433 ball. 1
1434 39 1
1435 born 6
1436 straggler 1
1437 feeding 2
1438 work- 2
1439 shows 2
1440 sur- 2
1441 travels 1
1442 north-east 2
1443 sign 2
1444 knovv^ 1
1445 tops 1
1446 snow-capped 1
1447 jike 1
1448 snow 1
1449 above 8
1450 prisms 3
1451 myriad 1
1452 flecks 1
1453 annulled 1
1454 mile 4
1455 species 1
1456 distinguished 1
1457 among 3
1458 sell 3
1459 trade 5
1460 40 1
1461 hot 4
1462 sweat 4
1463 trickle 1
1464 bight 1
1465 toe 1
1466 pro- 2
1467 jecting 1
1468 bumping 1
1469 softly 3
1470 thumb 5
1471 forefinger 2
1472 strain 12
1473 tentative 1
1474 ex- 2
1475 actly 1
1476 hand-forged 1
1477 jected 1
1478 tuna^ 1
1479 delicately 1
1480 unleashed 2
1481 run 3
1482 fingers 10
1483 tension 3
1484 please 2
1485 41 1
1486 six 3
1487 turn 15
1488 pulling 9
1489 break 8
1490 noth- 2
1491 aren 1
1492 lovely 2
1493 shy 1
1494 them. 1
1495 finger 3
1496 swum 1
1497 god 12
1498 it. 5
1499 christ 2
1500 remembers 1
1501 42 1
1502 gentle 3
1503 unbelievably 1
1504 slip 3
1505 unrolling 1
1506 reser 1
1507 > 2
1508 e 1
1509 slipping 1
1510 pressure 4
1511 imperceptible 1
1512 sideways 1
1513 swallow 2
1514 crosswise 1
1515 stop 2
1516 tightened 2
1517 in- 4
1518 creased 1
1519 43 1
1520 well. 3
1521 free 4
1522 reserve 8
1523 next 9
1524 forty-fathom 2
1525 coil 2
1526 using 1
1527 goes 5
1528 gained 4
1529 alternately 1
1530 cord 8
1531 pivoted 2
1532 happened 3
1533 moved 14
1534 raise 2
1535 inch 2
1536 beads 1
1537 slow 4
1538 bracing 2
1539 44 1
1540 move 4
1541 north-west 2
1542 travelled 1
1543 slovx^ly 1
1544 calm 10
1545 wish 22
1546 boy/ 1
1547 being 6
1548 towed 1
1549 towing 3
1550 bitt 5
1551 travelling 1
1552 dovi^n. 1
1553 decides 2
1554 sounds 1
1555 dies 2
1556 plenty 4
1557 slant 6
1558 kill 22
1559 forever 5
1560 swim- 2
1561 ming 2
1562 braced 5
1563 solidly 2
1564 45 1
1565 noon 4
1566 pushed 6
1567 straw 2
1568 hat 2
1569 fore- 2
1570 thirsty 1
1571 jerk 5
