16142 393317
921 garage 14
922 ten 44
923 cars 66
924 lined 10
925 shed 2
926 top-heavy 1
927 blunt-nosed 1
928 ambulances 8
929 painted 17
930 built 36
931 moving-vans 2
932 mechanics 7
933 working 48
934 yard 9
935 three 251
936 dressing 25
937 stations 8
938 signor 11
939 protected 12
940 hill. 1
941 bad 196
942 machine 21
943 march. 1
944 permission 17
945 wiped 22
946 jumper 1
947 grinned 14
948 matter 79
949 another. 4
950 rings. 1
951 disgraced 2
952 empty 56
953 engine 29
954 parts 10
955 moderately 4
956 freshly 10
957 tires 1
958 cuts 8
959 stone 45
960 bruises 1
961 condition 13
962 imagined 3
963 obtainable 1
964 smooth 37
965 functioning 2
966 business 38
967 removing 3
968 sick 47
969 hauling 7
970 clearing 11
971 station 72
972 distributing 9
973 papers 64
974 depended 1
975 considerable 7
976 extent 4
977 trouble 47
978 getting 98
979 sergeant 27
980 mechanic 3
981 tenente. 14
982 gasoline 2
983 park 22
984 place. 6
985 drank 87
986 bowl 6
987 pale 10
988 sweet 42
989 condensed 2
990 milk 11
991 beginning 17
992 dryness 1
993 nose 32
994 meant 52
995 hot 91
996 visited 4
997 posts 7
998 run 70
999 division 10
1000 worked 58
1001 told 219
1002 during 19
1003 gorge 1
1004 near 45
1005 keep 133
1006 selected 4
1007 infantry 15
1008 supposed 29
1009 gave 71
1010 false 9
1011 soldiering 3
1012 hugo 1
1013 grammar 1
1014 hair 86
1015 shone 25
1016 splendid 34
1017 no. 54
1018 yes 253
1019 please 183
1020 her. 13
1021 wait 42
1022 till 18
1023 cleaned 12
1024 up. 17
1025 wash 11
1026 are. 9
1027 brushed 3
1028 minute 26
1029 drink. 7
1030 grappa. 1
1031 extended 6
1032 grappa 25
1033 strong 47
1034 second 70
1035 stairs 26
1036 germans 32
1037 nurse 61
1038 uniforms 7
1039 toward 145
1040 saluted 8
1041 oh 164
1042 laughing 34
1043 odd 8
1044 thing—to 1
1045 army. 5
1046 ambulance. 2
1047 isn 60
1048 explanation 15
1049 everything. 5
1050 brought 140
1051 was. 5
1052 awfully 56
1053 nice. 12
1054 _do_ 1
1055 relief 5
1056 stick 34
1057 quite 139
1058 tall 73
1059 she 1132
1060 blonde 9
